child_num,hex_id,dns_mapping,notes
54,6kgrwqieaaaa,0.0.0.0.0.0.1.0.1.0.5.5.1.2.3.20.h3.vichex.ca.,
55,6kgrxaieaaaa,0.0.0.0.0.0.1.0.1.0.6.5.1.2.3.20.h3.vichex.ca.,
56,6kgrucieaaaa,0.0.0.0.0.0.1.0.1.1.0.5.1.2.3.20.h3.vichex.ca.,
57,6kgrusieaaaa,0.0.0.0.0.0.1.0.1.1.1.5.1.2.3.20.h3.vichex.ca.,
58,6kgrvcieaaaa,0.0.0.0.0.0.1.0.1.1.2.5.1.2.3.20.h3.vichex.ca.,
59,6kgrvsieaaaa,0.0.0.0.0.0.1.0.1.1.3.5.1.2.3.20.h3.vichex.ca.,
60,6kgrwcieaaaa,0.0.0.0.0.0.1.0.1.1.4.5.1.2.3.20.h3.vichex.ca.,
61,6kgrwsieaaaa,0.0.0.0.0.0.1.0.1.1.5.5.1.2.3.20.h3.vichex.ca.,
62,6kgrxcieaaaa,0.0.0.0.0.0.1.0.1.1.6.5.1.2.3.20.h3.vichex.ca.,
63,6kgrueieaaaa,0.0.0.0.0.0.1.0.1.2.0.5.1.2.3.20.h3.vichex.ca.,
64,6kgruuieaaaa,0.0.0.0.0.0.1.0.1.2.1.5.1.2.3.20.h3.vichex.ca.,
65,6kgrveieaaaa,0.0.0.0.0.0.1.0.1.2.2.5.1.2.3.20.h3.vichex.ca.,
66,6kgrvuieaaaa,0.0.0.0.0.0.1.0.1.2.3.5.1.2.3.20.h3.vichex.ca.,
67,6kgrweieaaaa,0.0.0.0.0.0.1.0.1.2.4.5.1.2.3.20.h3.vichex.ca.,
68,6kgrwuieaaaa,0.0.0.0.0.0.1.0.1.2.5.5.1.2.3.20.h3.vichex.ca.,
69,6kgrxeieaaaa,0.0.0.0.0.0.1.0.1.2.6.5.1.2.3.20.h3.vichex.ca.,
70,6kgrugieaaaa,0.0.0.0.0.0.1.0.1.3.0.5.1.2.3.20.h3.vichex.ca.,
71,6kgruwieaaaa,0.0.0.0.0.0.1.0.1.3.1.5.1.2.3.20.h3.vichex.ca.,
72,6kgrvgieaaaa,0.0.0.0.0.0.1.0.1.3.2.5.1.2.3.20.h3.vichex.ca.,
73,6kgrvwieaaaa,0.0.0.0.0.0.1.0.1.3.3.5.1.2.3.20.h3.vichex.ca.,
74,6kgrwgieaaaa,0.0.0.0.0.0.1.0.1.3.4.5.1.2.3.20.h3.vichex.ca.,
75,6kgrwwieaaaa,0.0.0.0.0.0.1.0.1.3.5.5.1.2.3.20.h3.vichex.ca.,
